requestType,userLoginEmail,password,scenario,Firstname,Lastname,ContactNumber,DateOfBirth,Email,HospitalName,HospitalStreet,HospitalCity,HospitalPincode,Education,Allergy,FoodPreference,CuisineCategory,Weight,Height,Temperature,SP,DP,morbidityTestName
createAdmin,augHackathon@gmail.com,test,Valid Login,,,,,,,,,,,,,,,,,,,
createDietician,,test,Positive ,teamfourfirstname,teamfourlastname,6282539192,1993-07-23,teamfour2003@aollzw.com,teamfourhospital,33street,bangalore,991291,Medicine,,,,,,,,,
createDietician,,test,Blank Firstname ,,teamfourlastname,6282539192,1993-07-23,teamfour2003@aollzw.com,teamfourhospital,33street,bangalore,991291,Medicine,,,,,,,,,
createDietician,,test,Blank Lastname ,teamfourfirstname,,6282539192,1993-07-23,teamfour2003@aollzw.com,teamfourhospital,33street,bangalore,991291,Medicine,,,,,,,,,
createDietician,,test,Blank Contact number,teamfourfirstname,teamfourlastname,,1993-07-23,teamfour2003@aollzw.com,teamfourhospital,33street,bangalore,991291,Medicine,,,,,,,,,
createDietician,,test,Blank Date of Birth,teamfourfirstname,teamfourlastname,6282539192,,teamfour2003@aollzw.com,teamfourhospital,33street,bangalore,991291,Medicine,,,,,,,,,
createDietician,,test,Blank Email,teamfourfirstname,teamfourlastname,6282539192,1993-07-23,,teamfourhospital,33street,bangalore,991291,Medicine,,,,,,,,,
createDietician,,test,Blank HosiptalName,teamfourfirstname,teamfourlastname,6282539192,1993-07-23,teamfour2003@aollzw.com,,33street,bangalore,991291,Medicine,,,,,,,,,
createDietician,,test,Duplicate Email,teamfourfirstname,teamfourlastname,6282539192,1993-07-23,teamfour203@aollzw.com,teamfourhospital,33street,bangalore,991291,Medicine,,,,,,,,,
createDietician,,test,Duplicate ContactNumber and Date of Birth,teamfourfirstname,teamfourlastname,6282539199,1990-07-13,teamfour2003@aollzw.com,teamfourhospital,33street,bangalore,991291,Medicine,,,,,,,,,
CreateDieticianWithoutToken,,test,Unauthorized,teamfourfirst,teamfourlast,6282539193,1992-07-13,teamfour2003@aollzw.com,teamfourhospital,33street,bangalore,991291,Medicine,,,,,,,,,
createPatient,,,Valid Patient1,teamfourpatientfirstname,teamfourpatientlastname,8229281199,1968-07-23,teamfourpatient2013@aollzw.com,,,,,,PEANUT,Vegetarian,Indian,65.5,5.4,24,90,60,
createPatient,,,Blank patient first name,,teamfourpatientlastname,8229281111,1967-07-23,teamfourpatient2000@aollzw.com,,,,,,PEANUT,Vegetarian,Indian,65.5,5.4,24,90,60,
createPatient,,,Blank patient last name,teamfourpatientfirstname,,8229281122,1988-07-23,teamfourpatient2001@aollzw.com,,,,,,PEANUT,Vegetarian,Indian,65.5,5.4,24,90,60,
createPatient,,,Invalid Email,teamfourpatientfirstname,teamfourpatientlastname,8229281190,1969-01-01,teamfourpatient20aollzw.com,,,,,,,,,,,,,,
createPatient,,,Blank contact number,teamfourpatientfirstname,teamfourpatientlastname,,1993-07-11,teamfourpatient2002@aollzw.com,,,,,,PEANUT,Vegetarian,Indian,65.5,5.4,24,90,60,
getAllMorbiditiesByAdminToken,,,,,,,,,,,,,,,,,,,,,,
